Protein,Family
P01111,Ras
P98160,EGF
P40763,SH2
P29353,SH2
P11142,HSP70
P42684,SH2
P42684,SH3_1
P42681,SH2
P42681,SH3_1
P08047,zf-C2H2
P07947,SH2
P07947,SH3_1
P62993,SH3_1
P62993,SH2
P12931,SH2
P12931,SH3_1
P0A9Q7,Aldedh
P00519,SH2
P00519,SH3_1
P19838,Ank
P10242,Myb_DNA-binding
P43403,SH2
P13569,ABC_tran
Q06187,SH2
Q06187,SH3_1
P0A6Y8,HSP70
P06241,SH2
P06241,SH3_1
P01116,Ras
P43405,SH2
P01112,Ras
P42224,SH2
